tick,time_s,ball_x,ball_y,ball_z,ball_vx,ball_vy,ball_vz,score_blue,score_orange,last_touch_aid,last_touch_team,last_touch_tick,blue-0_team,blue-0_x,blue-0_y,blue-0_z,blue-0_vx,blue-0_vy,blue-0_vz,blue-0_boost,blue-0_profile,blue-1_team,blue-1_x,blue-1_y,blue-1_z,blue-1_vx,blue-1_vy,blue-1_vz,blue-1_boost,blue-1_profile,orange-0_team,orange-0_x,orange-0_y,orange-0_z,orange-0_vx,orange-0_vy,orange-0_vz,orange-0_boost,orange-0_profile,orange-1_team,orange-1_x,orange-1_y,orange-1_z,orange-1_vx,orange-1_vy,orange-1_vz,orange-1_boost,orange-1_profile,touch_streak_blue,touch_streak_orange,last_touch_bonus
8,0.06666666666666667,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,0.0,-4610.201171875,16.986736297607422,0.0,-76.96458435058594,-0.29955804347991943,33.29999923706055,P_base,0,-2047.9337158203125,-2559.918701171875,34.80659866333008,1.1837071180343628,1.5526827573776245,319.5963134765625,33.29999923706055,P_base,1,-0.0002696953888516873,4607.8671875,34.803653717041016,-0.032363466918468475,-2.4460315704345703,319.545654296875,33.29999923706055,P_base,1,2045.487060546875,2556.527099609375,16.985910415649414,-77.78889465332031,-111.29884338378906,-0.40900856256484985,31.357498168945312,P_base,0,0,0.0
16,0.13333333333333333,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,0.5536260604858398,-4611.09814453125,16.982545852661133,17.91737174987793,69.25149536132812,0.14248862862586975,31.357498168945312,P_base,0,-2046.3009033203125,-2558.261962890625,55.248538970947266,47.89558410644531,47.88643264770508,286.51190185546875,31.357498168945312,P_base,1,-0.0023123391438275576,4605.5068359375,55.25664520263672,0.21248382329940796,-68.27421569824219,287.28485107421875,31.357498168945312,P_base,1,2038.3260498046875,2547.08349609375,16.981674194335938,-110.96502685546875,-135.21905517578125,0.31191855669021606,29.96999740600586,P_base,0,0,0.0
24,0.2,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,1.7404975891113281,-4603.54296875,17.001760482788086,11.71135425567627,111.27005767822266,0.3930814564228058,29.96999740600586,P_base,0,-2041.0535888671875,-2553.156494140625,72.49565124511719,103.05809020996094,98.3553237915039,236.28675842285156,29.137496948242188,P_base,1,0.07135909050703049,4598.7109375,72.76725769042969,1.4853230714797974,-112.9754867553711,243.65744018554688,29.96999740600586,P_base,1,2029.58740234375,2535.03955078125,17.001184463500977,-156.75125122070312,-240.88690185546875,0.20316243171691895,28.027496337890625,P_base,0,0,0.0
32,0.26666666666666666,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,1.5803018808364868,-4592.9033203125,17.012422561645508,-16.345848083496094,222.03195190429688,0.024952739477157593,28.027496337890625,P_base,0,-2033.70947265625,-2546.198486328125,86.54124450683594,110.1642837524414,104.36746215820312,191.7257537841797,28.859996795654297,P_base,1,0.41092056035995483,4589.0029296875,87.3533706665039,9.548908233642578,-178.16207885742188,199.01148986816406,28.027496337890625,P_base,1,2015.7691650390625,2514.531982421875,17.008798599243164,-250.4547119140625,-354.98846435546875,0.060401856899261475,25.8074951171875,P_base,0,0,0.0
40,0.3333333333333333,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,-0.6875524520874023,-4572.91015625,17.011884689331055,-50.276451110839844,359.5460510253906,-0.01248195767402649,25.8074951171875,P_base,0,-2026.365478515625,-2539.240478515625,97.6979751586914,110.1642837524414,104.36746215820312,148.3924102783203,28.859996795654297,P_base,1,-0.40748900175094604,4573.064453125,115.65573120117188,-8.302305221557617,-273.53668212890625,438.93035888671875,25.8074951171875,P_base,1,1997.989990234375,2490.942626953125,17.020191192626953,-267.60491943359375,-330.4560852050781,0.19102692604064941,25.52999496459961,P_base,0,0,0.0
48,0.4,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,-5.236885070800781,-4548.248046875,17.02091407775879,-78.9688491821289,353.37060546875,0.17352700233459473,25.52999496459961,P_base,0,-2019.134765625,-2532.3369140625,105.997314453125,106.7392578125,102.800048828125,106.01884460449219,28.859996795654297,P_base,1,-0.024375062435865402,4552.19580078125,142.95379638671875,18.039447784423828,-343.1232604980469,385.855712890625,23.587493896484375,P_base,1,1980.257568359375,2470.8779296875,17.028400421142578,-264.5453186035156,-278.1815490722656,0.07539093494415283,25.52999496459961,P_base,0,0,0.0
56,0.4666666666666667,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,-11.264077186584473,-4521.5830078125,17.018190383911133,-100.76786041259766,462.6213073730469,-0.140438973903656,23.587493896484375,P_base,0,-2010.04833984375,-2524.855712890625,110.8414306640625,166.62115478515625,120.70558166503906,44.38023376464844,26.917495727539062,P_base,1,2.500587224960327,4526.89794921875,166.50941467285156,54.93062210083008,-406.5626525878906,327.1175537109375,21.36749267578125,P_base,1,1964.5799560546875,2453.35986328125,17.030235290527344,-204.4661102294922,-255.83009338378906,-0.00840499997138977,25.52999496459961,P_base,0,0,0.0
64,0.5333333333333333,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,-19.467830657958984,-4485.57373046875,17.011455535888672,-141.23165893554688,598.7252807617188,-0.05340054631233215,21.36749267578125,P_base,0,-1996.280517578125,-2516.332763671875,111.3851547241211,237.88694763183594,131.98817443847656,-19.613643646240234,24.697494506835938,P_base,1,6.522162914276123,4499.306640625,186.53366088867188,60.3236198425293,-413.8707275390625,281.4053649902344,21.08999252319336,P_base,1,1951.4437255859375,2436.699951171875,34.83119201660156,-199.3154296875,-247.84117126464844,319.51953125,25.52999496459961,P_base,0,0,0.0
72,0.6,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,-30.750465393066406,-4445.791015625,17.02000617980957,-191.2336883544922,569.0484619140625,0.17400309443473816,21.08999252319336,P_base,0,-1979.8162841796875,-2507.482666015625,108.29866790771484,246.95570373535156,132.74876403808594,-65.25572967529297,24.419994354248047,P_base,1,10.543736457824707,4471.7158203125,203.6690216064453,60.3236198425293,-413.8707275390625,238.07211303710938,21.08999252319336,P_base,1,1938.1563720703125,2420.168701171875,55.31763458251953,-199.3031463623047,-247.96693420410156,288.33837890625,25.52999496459961,P_base,0,0,0.0
80,0.6666666666666666,0.0,0.0,93.1500015258789,0.0,0.0,0.0,0,0,,-1,-1,0,-42.2098274230957,-4409.66650390625,17.027618408203125,-142.8533935546875,524.9327392578125,0.060067325830459595,21.08999252319336,P_base,0,-1961.1905517578125,-2498.89111328125,102.09940338134766,311.71600341796875,123.71529388427734,-114.44380187988281,22.477493286132812,P_base,1,14.457466125488281,4444.18212890625,217.9585418701172,57.04920196533203,-412.2170104980469,196.019775390625,21.08999252319336,P_base,1,1923.50048828125,2401.932373046875,73.04896545410156,-240.11129760742188,-299.285400390625,249.41964721679688,23.587493896484375,P_base,0,0,0.0
