environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,1.7174603939056396,0.14,0.3104835,0.19761905,0.31479937,0.065238096,0.103368446,3.400282621383667,20.990127563476562,47.2,0.40285712,0.11182154000271112,5.617828762075256,0.339061,0.012222522223778592,20,38.54533386230469
20000,0.19431403279304504,0.16166666,0.23142673,0.0,0.0,0.05,0.106718734,3.1847031116485596,12.549625396728516,45.2,0.21166667,0.0894334999844432,14.4,0.30532768,0.02847873345230215,40,24.710622787475586
30000,-0.12953084707260132,0.033333335,0.1,0.0,0.0,0.05,0.1,3.1729624271392822,2.2365856170654297,50.0,0.083333336,0.11034604995511473,0.0,0.12909946,4.22877873229618e-05,60,4.732233047485352
40000,0.5814000964164734,0.12666667,0.20264912,0.11333333,0.2982169,0.04,0.12,3.4110984802246094,18.554323196411133,48.3,0.28,0.09380057002417744,5.1,0.32186955,0.009964600129493049,80,35.94584655761719
50000,1.604658842086792,0.025,0.074999996,0.25833333,0.31721443,0.12833333,0.17289208,3.6138622760772705,22.72184181213379,42.9,0.4116667,0.08771743001416325,14.20176045425355,0.37148726,0.02820357931347357,100,42.23436737060547
60000,-0.620122492313385,0.05,0.1,0.033333335,0.1,0.02857143,0.085714296,3.569523572921753,2.050975799560547,50.0,0.11190476,0.09717232999391853,0.0,0.1387505,6.418152068236338e-05,120,5.342196464538574
70000,0.36559057235717773,0.1125,0.19724667,0.05,0.14999999,0.075,0.16007811,3.552096128463745,9.922155380249023,45.5,0.2375,0.09247904003132135,13.5,0.3281101,0.027418032825270885,140,19.113130569458008
80000,0.16259144246578217,0.086666666,0.20231989,0.02,0.06,0.058333337,0.11814539,3.585354804992676,7.8859381675720215,49.7,0.165,0.09669951996766031,0.9,0.29500002,0.0018221852987843684,160,15.446693420410156
90000,0.07971574366092682,0.05,0.14999999,0.120000005,0.1989975,0.033333335,0.1,3.690563440322876,6.125761032104492,45.2,0.20333333,0.08968892998527736,14.4,0.31427166,0.02862395319446387,180,12.092090606689453
100000,0.45344415307044983,0.1,0.21343747,0.06666667,0.2,0.053333335,0.11075499,3.3320248126983643,11.89668083190918,49.1,0.22,0.09602907996159046,1.9209372712298547,0.39446166,0.0039569552462401835,200,22.886472702026367
110000,0.5196184515953064,0.1,0.21343747,0.061666667,0.096046865,0.05,0.106718734,3.584893226623535,8.431846618652344,47.1,0.21166667,0.09348725997842848,8.7,0.29609028,0.017387340395839553,220,15.824457168579102
120000,0.9881889224052429,0.084848486,0.1452018,0.28787878,0.40258577,0.045454547,0.1437399,4.024893283843994,16.25731086730957,36.81818181818182,0.4181818,0.07283612730150874,18.413523596521916,0.45490897,0.036034399372579684,240,30.538244247436523
130000,0.15331138670444489,0.07857143,0.12601066,0.04,0.12,0.108333334,0.175,3.670525074005127,6.3050994873046875,50.0,0.22690478,0.10014138000551612,0.0,0.2000965,8.384487018020176e-05,260,12.303576469421387
140000,-0.3836447596549988,0.083333336,0.20069326,0.058333337,0.11814539,0.025,0.074999996,3.188838005065918,5.419483184814453,48.2,0.16666666,0.094052500044927,5.4,0.295804,0.010411942733866343,280,11.606255531311035
150000,-0.15155048668384552,0.02,0.06,0.07833333,0.123389624,0.0,0.0,3.6929287910461426,1.9815900325775146,50.0,0.09833334,0.09844225998967886,0.0,0.15392098,5.459296992673189e-05,300,4.2662811279296875
160000,-0.42348241806030273,0.086904764,0.13405946,0.02,0.06,0.033333335,0.1,3.5415077209472656,2.784745216369629,50.0,0.1402381,0.09766214000992476,0.0,0.14480595,8.3265722781986e-05,320,6.416455268859863
170000,0.94656902551651,0.15833333,0.30379543,0.11190476,0.17819007,0.15,0.32015622,3.3910772800445557,16.6190128326416,45.1,0.4202381,0.08853064000140876,9.533624704172071,0.40004426,0.018897998685962727,340,31.344886779785156
180000,-0.23645849525928497,0.080000006,0.12840907,0.06666667,0.110554166,0.07000001,0.21000002,3.49997878074646,5.253957748413086,48.0,0.21666665,0.09709905004128813,6.0,0.2986079,0.01253996835205721,360,10.98083209991455
