environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,0.005884792190045118,0.05,0.14999999,0.045238096,0.09431098,0.0,0.0,2.5950675010681152,3.850440263748169,50.0,0.0952381,0.14590640999376775,0.0,0.16392301,8.407816397485513e-05,20,7.68911075592041
20000,0.19854706525802612,0.02,0.06,0.0,0.0,0.033333335,0.1,3.0461037158966064,5.031042098999023,50.0,0.053333335,0.14469856000505388,0.0,0.11075499,0.00046965277814921724,40,9.664990425109863
30000,-0.3882330060005188,0.02,0.06,0.0,0.0,0.0,0.0,3.1760778427124023,3.493710517883301,50.0,0.02,0.14271887000650169,0.0,0.06,6.23380519014194e-05,60,7.76388692855835
40000,-0.10602132230997086,0.014285715,0.042857148,0.02857143,0.085714296,0.034285717,0.069751754,3.370059013366699,1.9847759008407593,50.0,0.07714286,0.13904889998957515,0.0,0.10145875,0.0002878619611515637,80,4.181594371795654
50000,0.06870074570178986,0.06666667,0.2,0.116666675,0.18333334,0.0,0.0,3.596757173538208,13.5534029006958,45.7,0.18333334,0.12960565998218954,12.9,0.32015622,0.036187343393274944,100,26.969404220581055
60000,-0.0681440606713295,0.05,0.14999999,0.016666668,0.05,0.09166667,0.20564938,3.677560806274414,9.469549179077148,50.0,0.15833333,0.14953369998838753,0.0,0.2310904,6.985247441236598e-05,120,19.07538604736328
70000,1.0001615285873413,0.15833333,0.30379543,0.083333336,0.17078252,0.033333335,0.1,3.84138822555542,17.769100189208984,46.8,0.275,0.1330375300021842,8.072174428244226,0.39449337,0.022320866907571388,140,33.53787612915039
80000,-0.11765389889478683,0.05595238,0.08909503,0.1,0.21343747,0.0,0.0,3.397184133529663,6.335900783538818,50.0,0.15595238,0.139133490039967,0.0,0.23111494,7.011754018396851e-05,160,12.907109260559082
90000,0.19689127802848816,0.05,0.1,0.06666667,0.13333336,0.1,0.21343747,3.6591272354125977,9.096577644348145,49.3,0.21666667,0.13533975996542721,2.0999999999999996,0.29627314,0.006421917195967863,180,17.799373626708984
100000,0.02957087755203247,0.09166667,0.20564938,0.0,0.0,0.016666668,0.05,3.6536073684692383,8.799538612365723,50.0,0.108333334,0.14530722997151316,0.0,0.20429419,0.00036112954825934544,200,17.539936065673828
110000,0.049229513853788376,0.10541667,0.13647407,0.06761905,0.11215878,0.03875,0.07755039,3.800537347793579,5.020849227905273,50.0,0.21178572,0.15073396991938354,0.0,0.1969916,0.00016164625213489742,220,9.943239212036133
120000,-0.2368035763502121,0.025,0.074999996,0.053333335,0.11075499,0.025,0.074999996,3.756448984146118,2.6731796264648438,50.0,0.10333334,0.15229722999501974,0.0,0.17156146,0.0004528781891535707,240,5.8199663162231445
130000,0.703738808631897,0.094444446,0.23313484,0.04,0.12,0.1638889,0.25472388,3.7903409004211426,10.762004852294922,45.0,0.29833335,0.1293080999981612,12.296340919151518,0.3799452,0.03532546274437308,260,20.116531372070312
140000,0.37950628995895386,0.0,0.0,0.05,0.14999999,0.18333334,0.32015622,3.6492927074432373,11.992891311645508,48.9,0.23333332,0.13770757999736816,2.981610303175115,0.39581138,0.0073074608332531765,280,23.226770401000977
150000,0.051984138786792755,0.13166666,0.22216736,0.125,0.30103987,0.02,0.06,3.657416582107544,13.18014907836914,47.9,0.27666667,0.1341406100196764,6.300000000000001,0.34117445,0.017351137049148323,300,26.256330490112305
160000,-0.5202735662460327,0.0,0.0,0.025,0.074999996,0.089999996,0.18138357,3.8158881664276123,3.4855360984802246,50.0,0.114999995,0.1606455999892205,0.0,0.18445866,0.0003265692803355967,320,8.011619567871094
170000,-0.21138544380664825,0.125,0.20155644,0.06666667,0.2,0.058333337,0.1181454,3.8455328941345215,6.076361179351807,45.3,0.25,0.1304683400085196,14.1,0.31622776,0.04041695094667964,340,12.575492858886719
180000,0.579079806804657,0.105,0.17095321,0.12833335,0.22336444,0.06666667,0.1040833,3.909961700439453,8.894506454467773,49.1,0.3,0.14328881003893912,2.7,0.29391986,0.008321250665564068,360,16.6308536529541
190000,0.6356639862060547,0.17833334,0.21240029,0.0,0.0,0.06583334,0.11108367,3.804056167602539,10.020052909851074,49.7,0.24416669,0.14269993999041616,0.9,0.29097655,0.0028365064509708153,380,18.76877784729004
200000,-0.02987169846892357,0.1,0.21343747,0.053333335,0.11075499,0.033333335,0.1,3.5625503063201904,8.759757041931152,48.8,0.18666668,0.1291638699825853,3.6,0.30228758,0.009816754639263355,400,17.57925796508789
210000,-0.477426677942276,0.089999996,0.18138358,0.0,0.0,0.065,0.13425721,3.7037973403930664,3.093942165374756,50.0,0.155,0.1445409899810329,0.0,0.19805303,0.0002647579968477401,420,7.142737865447998
220000,0.5552964806556702,0.053333335,0.11075499,0.04,0.12,0.19,0.3238827,3.7436888217926025,11.713800430297852,45.9,0.28333336,0.13400742004159838,8.203048213926332,0.3947573,0.025912502179812016,440,22.317007064819336
230000,-0.43470498919487,0.0,0.0,0.1,0.2,0.1,0.2,3.8669674396514893,5.436680316925049,47.8,0.2,0.15197374997660518,6.6000000000000005,0.3316625,0.021931652766795262,460,11.742770195007324
240000,-0.22710296511650085,0.0,0.0,0.09714286,0.15129375,0.083333336,0.17078252,3.7017838954925537,4.560368061065674,50.0,0.18047619,0.14414594997651875,0.0,0.18938316,0.00045330784057952186,480,9.574941635131836
250000,-0.054039549082517624,0.05,0.1,0.089999996,0.18138357,0.1,0.21343748,3.715787649154663,7.484000205993652,50.0,0.23999998,0.20172066004015504,0.0,0.22683817,0.00015147892042791938,500,15.076079368591309
260000,0.049905143678188324,0.05,0.14999999,0.05,0.14999999,0.0,0.0,3.357726573944092,5.579257965087891,49.7,0.1,0.1413705199956894,0.9,0.29999998,0.002554794742948264,520,11.05870532989502
270000,-0.612378716468811,0.09333334,0.14966631,0.044999998,0.09069179,0.0,0.0,3.7148635387420654,0.9003438949584961,50.0,0.13833334,0.1390130700543523,0.0,0.14908051,0.00014871695233227043,540,3.0254452228546143
280000,0.7015057802200317,0.060000002,0.12806249,0.13333334,0.2081666,0.11666666,0.19790569,3.909315347671509,11.584701538085938,44.4,0.31,0.13380216998048128,11.28007092176286,0.37119925,0.03500130457881624,560,21.76639175415039
290000,-0.10356497019529343,0.06666667,0.2,0.04,0.12,0.033333335,0.1,3.790977954864502,4.430461406707764,47.7,0.14,0.1394779799738899,6.9,0.3104835,0.018166019376578593,580,9.068052291870117
300000,0.6308286786079407,0.14666668,0.2343786,0.19428572,0.18383111,0.061904766,0.12426657,3.9835774898529053,13.74644660949707,48.7,0.40285715,0.14947992996312678,3.9000000000000004,0.23994471,0.011562361071485727,600,26.23123550415039
310000,-0.7511767148971558,0.02,0.06,0.0,0.0,0.02,0.06,3.7074952125549316,-0.20240998268127441,50.0,0.04,0.15071417998988182,0.0,0.08,8.758622852401063e-05,620,1.0975334644317627
320000,-0.4891751706600189,0.095,0.16194135,0.0,0.0,0.05,0.14999999,3.662280321121216,4.061394691467285,50.0,0.14500001,0.13588252996560185,0.0,0.19805303,6.996799825488257e-05,640,9.101140022277832
330000,0.007984916679561138,0.07333334,0.1474223,0.058333337,0.1181454,0.056666665,0.124766454,3.5361671447753906,5.805325984954834,50.0,0.18833335,0.14058506998699158,0.0,0.26625487,0.000269618212251549,660,11.594681739807129
340000,-0.6811459064483643,0.065,0.100124925,0.014285715,0.042857148,0.033333335,0.1,3.5551557540893555,1.1897308826446533,50.0,0.11261906,0.1496110499603674,0.0,0.12132138,0.00020858058097530675,680,3.741753578186035
350000,-0.2885296642780304,0.053333335,0.11075499,0.025,0.074999996,0.025,0.074999996,3.5842442512512207,1.887359619140625,50.0,0.10333333,0.13821266004815697,0.0,0.13012815,0.0002587694307916863,700,4.351778507232666
360000,-0.195493683218956,0.0852381,0.108053274,0.025,0.074999996,0.07333334,0.11718931,3.8592100143432617,2.4282724857330322,50.0,0.18357143,0.1360267100157216,0.0,0.13639534,9.444186960914489e-05,720,5.247532367706299
370000,1.7684894800186157,0.23030303,0.35688168,0.2,0.3162278,0.12878788,0.28728005,3.878009080886841,20.915111541748047,38.54545454545455,0.5590909,0.11230932730673389,16.227718353952493,0.4214791,0.04720008222133761,740,38.293243408203125
380000,-0.21857383847236633,0.14,0.3104835,0.061904766,0.124266565,0.0952381,0.11987806,3.7301762104034424,6.474828720092773,46.9,0.29714283,0.14226146994624286,9.3,0.31282452,0.026469382911862443,760,13.386805534362793
390000,0.17143219709396362,0.10333333,0.17156146,0.1,0.2,0.0,0.0,3.5772225856781006,6.7100653648376465,47.9,0.20333333,0.12794434993993492,6.300000000000001,0.31427166,0.01651989916977085,780,13.077266693115234
400000,0.5814743638038635,0.225,0.2982588,0.025,0.074999996,0.06666667,0.2,3.6542956829071045,10.494369506835938,44.9,0.31666666,0.1203113600378856,13.419761547807024,0.36666667,0.0364053199545555,800,19.825790405273438
410000,-0.06352444738149643,0.108333334,0.13969213,0.041666668,0.08539126,0.095238104,0.20865622,3.8733716011047363,7.388003826141357,49.9,0.24523811,0.132520530000329,0.3,0.28765213,0.0009335800824187989,820,14.903056144714355
420000,0.14759461581707,0.175,0.31721443,0.089999996,0.18138358,0.0,0.0,3.531679630279541,6.91776704788208,44.7,0.26500002,0.1300651699770242,13.176114753598648,0.38990384,0.0384542835872247,840,13.540345191955566
430000,0.9170539975166321,0.16883117,0.30158904,0.008658009,0.02737903,0.18181819,0.32141218,3.525371789932251,14.222179412841797,41.54545454545455,0.35930735,0.11485889090479097,14.00885198309617,0.41987994,0.03974334331073798,860,26.61025047302246
440000,-0.5607508420944214,0.0775,0.13344006,0.0,0.0,0.072500005,0.12769593,3.8912785053253174,2.5160117149353027,50.0,0.14999999,0.13310082999523729,0.0,0.16124515,8.490382538369603e-05,880,6.153524875640869
450000,0.09884033352136612,0.058333337,0.1181454,0.1452381,0.23772591,0.1,0.2,3.8254730701446533,10.172952651977539,45.9,0.30357143,0.12381977995391935,8.275868534480233,0.38374165,0.02135762169036576,900,20.148223876953125
460000,0.347624272108078,0.22272728,0.246416,0.13636364,0.18556741,0.09090909,0.16458757,3.6257917881011963,9.562912940979004,39.0,0.45,0.11365601820447906,15.326744302332798,0.43952453,0.04430912461669949,920,18.430578231811523
470000,-0.569974958896637,0.13095239,0.25582778,0.014285715,0.042857148,0.083333336,0.13437097,3.7890970706939697,4.7920989990234375,49.3,0.22857144,0.14080111999064684,2.0999999999999996,0.29875025,0.005696877343602586,940,10.72414779663086
480000,0.5748031735420227,0.033333335,0.1,0.15873018,0.24405245,0.08888889,0.20367004,3.946786880493164,8.710366249084473,47.5,0.28095236,0.12986413997132332,5.044799302251775,0.38122013,0.015147915003701811,960,16.27112579345703
490000,0.717969536781311,0.1978355,0.22290379,0.09090909,0.14845394,0.16666667,0.27524096,3.711637496948242,12.768141746520996,39.27272727272727,0.45541126,0.1067569999828596,15.954998698560724,0.42653328,0.04349092602830658,980,24.100343704223633
500000,-0.2593364119529724,0.10333333,0.13535962,0.078571424,0.12037357,0.083333336,0.20069326,3.612884044647217,6.104109287261963,47.6,0.2652381,0.13101558997295798,7.2,0.26641825,0.020695126861409122,1000,12.72689151763916
510000,0.31659409403800964,0.15541667,0.20419261,0.08541667,0.13580073,0.033333335,0.1,3.7565903663635254,6.603326797485352,45.2,0.27416667,0.12439567998517305,13.746272221951665,0.38167122,0.03801164274704834,1020,12.573465347290039
520000,0.0063590677455067635,0.13506494,0.19562598,0.022727273,0.07186995,0.23809524,0.31176347,3.7284059524536133,10.705004692077637,44.45454545454545,0.39588746,0.12354145455174148,11.602222642577322,0.4063301,0.03249259903606146,1040,21.39729118347168
530000,0.6071546673774719,0.30666667,0.34922135,0.03666667,0.07371115,0.120000005,0.16878653,3.569392681121826,14.002572059631348,41.9,0.4633333,0.11497714002616703,12.90310040261642,0.40178767,0.03642835092938383,1060,26.790834426879883
540000,0.5118417739868164,0.15,0.1740051,0.06666667,0.13333336,0.16166668,0.17702007,3.708500623703003,10.455451011657715,39.6,0.37833336,0.10841008992865682,17.007057358637912,0.41553515,0.04824061646076109,1080,19.887218475341797
550000,0.3772323727607727,0.120000005,0.15143757,0.17333333,0.18184243,0.093333334,0.14966631,3.7992074489593506,9.758610725402832,44.6,0.38666666,0.12339580000843853,11.128342194594845,0.33572474,0.03166506838442058,1100,18.76275634765625
560000,-0.13143430650234222,0.06666667,0.15275253,0.097222224,0.16351181,0.13611111,0.14930394,3.7706198692321777,5.719760894775391,50.0,0.3,0.1335502700647339,0.0,0.28674418,7.081001093040142e-05,1120,11.702390670776367
570000,-0.7701043486595154,0.14357142,0.18654895,0.041666668,0.08539125,0.05,0.14999999,3.9106953144073486,4.655582427978516,50.0,0.2352381,0.1823503300314769,0.0,0.18467292,0.0001640695389298095,1140,10.851373672485352
580000,0.0011318237520754337,0.22,0.3051229,0.025,0.074999996,0.14,0.2154066,3.9976866245269775,9.155949592590332,49.8,0.385,0.1431029400555417,0.6,0.35780582,0.002053176298353832,1160,18.309635162353516
