name,youtube,meme,cartoon
soycheese,"https://www.youtube.com/@GothamChess, https://www.youtube.com/@Smallant, https://www.youtube.com/@UrinatingTree, https://www.youtube.com/@WolfeyVGC, https://www.youtube.com/@AtriocClips, https://www.youtube.com/@MoxieBoosted, https://www.youtube.com/@ManCarryingThing, https://www.youtube.com/@SECShorts, https://www.youtube.com/@JomboyMedia, https://www.youtube.com/@LudwinClips, https://www.youtube.com/@Ado1024, https://www.youtube.com/@alexbequiet, https://www.youtube.com/@BordeauxYT, https://www.youtube.com/@SvenJohnsonBestYoutuber, https://www.youtube.com/@Davie504, https://www.youtube.com/@gustoonz, https://www.youtube.com/@AaronPaulsen, https://www.youtube.com/@ProZD",,"https://www.imdb.com/title/tt0206512/, https://www.imdb.com/title/tt0235918/, https://www.imdb.com/title/tt13706018/, https://www.imdb.com/title/tt0126029/"
ThailandEnthusiast,https://www.youtube.com/@PewDiePie,https://knowyourmeme.com/memes/epstein-didnt-kill-himself,https://www.imdb.com/title/tt12343534/
wonder,"https://www.youtube.com/@3blue1brown, https://www.youtube.com/@kurzgesagt, https://www.youtube.com/@TEDEd, https://www.youtube.com/@PrimerBlobs, https://www.youtube.com/@GingerRootMusic","https://knowyourmeme.com/memes/lebron-james-reportedly, https://knowyourmeme.com/memes/levitating-pizza-pizzakinesis","https://www.imdb.com/title/tt0213338/, https://www.imdb.com/title/tt15222080/, https://www.imdb.com/title/tt22248376/"
northstar-11,,"https://knowyourmeme.com/memes/distracted-boyfriend
https://knowyourmeme.com/memes/is-this-a-pigeon
https://knowyourmeme.com/memes/woman-yelling-at-a-cat","https://www.imdb.com/title/tt0421482
https://www.imdb.com/title/tt0243061/
https://www.imdb.com/title/tt1423559/
https://www.imdb.com/title/tt0293734/
https://www.imdb.com/title/tt4083422/
https://www.imdb.com/title/tt2644032/"
AJBestPony,"https://www.youtube.com/@styropyro
https://www.youtube.com/@InternetHistorian
https://www.youtube.com/@videogamedunkey
https://www.youtube.com/@3kliksphilip
https://www.youtube.com/@Vsauce
https://www.youtube.com/@2ndJerma","https://knowyourmeme.com/memes/hmm-today-i-will
https://knowyourmeme.com/memes/why-did-you-redeem-it
https://knowyourmeme.com/memes/daring-today-arent-we
https://knowyourmeme.com/memes/steamed-hams
https://knowyourmeme.com/memes/half-life-3-confirmed
https://knowyourmeme.com/memes/when-the-imposter-is-sus-sus-jerma","https://www.imdb.com/title/tt1751105/
https://www.imdb.com/title/tt1865718/
https://www.imdb.com/title/tt0206512/"
crushedoreos,"https://www.youtube.com/@kenforrest
https://www.youtube.com/@ExploreWithUs
https://www.youtube.com/@TheInfographicsShow
https://www.youtube.com/@mkbhd
https://www.youtube.com/@fern-tv
https://www.youtube.com/@VICEAsia
https://www.youtube.com/@DrInsanityCrime
https://www.youtube.com/@LEMMiNO
https://www.youtube.com/@Vsauce
https://www.youtube.com/@johnnyharris","https://knowyourmeme.com/memes/tung-tung-tung-sahur
https://knowyourmeme.com/memes/cursed-boomer-images","https://www.imdb.com/title/tt11680642/
https://www.imdb.com/title/tt2560140/
https://www.imdb.com/title/tt0877057
https://www.imdb.com/title/tt0434706
https://www.imdb.com/title/tt4083422/
https://www.imdb.com/title/tt0245612
https://www.imdb.com/title/tt6057836
https://www.imdb.com/title/tt0983983/
https://www.imdb.com/title/tt0985991"
spagetti_confetti,https://www.youtube.com/@NeetCode ,https://knowyourmeme.com/memes/hulk-gives-ant-man-a-taco,Shaun the sheep
peanutButter,"https://www.youtube.com/@joerogan,
https://www.youtube.com/@BernardoFariaBJJ,
https://www.youtube.com/@HeraAgeofEmpires2,
https://www.youtube.com/@ufc,
https://www.youtube.com/@FloGrappling","https://knowyourmeme.com/memes/why-not-both-why-dont-we-have-both,
https://knowyourmeme.com/memes/this-is-fine","https://www.imdb.com/title/tt0417299/,
"
snixshyy,"https://www.youtube.com/@IShowSpeed, https://www.youtube.com/@HighBoi, https://www.youtube.com/@PewDiePie, https://www.youtube.com/@KSI, https://www.youtube.com/@Sidemen","https://knowyourmeme.com/memes/doge, https://knowyourmeme.com/memes/loss, https://knowyourmeme.com/memes/woman-yelling-at-a-cat","https://www.imdb.com/title/tt12343534/, https://www.imdb.com/title/tt2560140/, https://www.imdb.com/title/tt5249462/"
mischievous_ak47,https://www.youtube.com/@ufc,,https://www.imdb.com/title/tt4179452/
