environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,1.5843092203140259,0.089999996,0.18138357,0.120000005,0.2993326,0.120000005,0.16878653,3.1869161128997803,19.98438835144043,45.8,0.32999998,0.08717155000194907,9.734474818910366,0.3591502,0.018534368296021404,20,36.8001594543457
20000,0.3534916043281555,0.10333334,0.17156146,0.15,0.24094719,0.0,0.0,3.231806755065918,17.747507095336914,43.4,0.25333333,0.08246474992483854,14.60958589419974,0.38850138,0.027680641220499153,40,34.78803253173828
30000,-0.04586867243051529,0.0,0.0,0.05,0.1,0.05,0.14999999,3.2867534160614014,2.627354860305786,50.0,0.1,0.09460804997943342,0.0,0.16583124,6.462366790974007e-05,60,5.346446990966797
40000,0.03305988013744354,0.05,0.14999999,0.11468254,0.16581842,0.0055555557,0.016666668,3.0820577144622803,5.537496566772461,49.4,0.17023809,0.09370301004964858,1.8,0.29700175,0.003607343163822359,80,11.008872985839844
50000,-0.489631325006485,0.075,0.16007811,0.05,0.14999999,0.093571424,0.14716539,3.3775570392608643,4.339154243469238,50.0,0.21857142,0.09470916998106986,0.0,0.2527643,8.429366067662201e-05,100,9.657570838928223
60000,0.5952521562576294,0.21166667,0.24472775,0.116666675,0.18333334,0.025,0.074999996,3.6364786624908447,10.270039558410645,47.4,0.35333332,0.0908761499915272,7.8,0.28865588,0.01518951551781244,120,19.34957504272461
70000,-0.5397558808326721,0.0,0.0,0.05,0.14999999,0.089999996,0.18138357,3.224860668182373,1.9797074794769287,50.0,0.14,0.09460065998136998,0.0,0.2154066,7.60832591256164e-05,140,5.038926601409912
80000,-0.1172703355550766,0.02,0.06,0.06666667,0.2,0.033333335,0.1,2.9152274131774902,5.353915214538574,48.2,0.120000005,0.0912531899753958,5.4,0.2993326,0.010288355795943704,160,10.942371368408203
90000,-0.11005236953496933,0.075,0.16007811,0.086904764,0.13405947,0.0,0.0,3.5987305641174316,4.47452974319458,50.0,0.16190477,0.09416947003919632,0.0,0.1748177,0.0001068674168940206,180,9.169164657592773
100000,0.5118424296379089,0.02857143,0.085714296,0.033333335,0.1,0.20857143,0.22850993,3.436518669128418,8.688538551330566,50.0,0.27047616,0.10128029002808034,0.0,0.24116874,4.747507526794586e-05,200,16.353391647338867
110000,-0.05914071574807167,0.08190477,0.12870893,0.092063494,0.15629885,0.062222224,0.095219046,3.403003215789795,4.64700174331665,45.9,0.23619048,0.08854200006462634,12.299999999999999,0.29273283,0.023654047212670774,220,9.412284851074219
120000,0.4564448893070221,0.14833334,0.16839933,0.07333334,0.1474223,0.056666665,0.12476645,3.4411816596984863,8.146706581115723,50.0,0.27833337,0.09747892995364964,0.0,0.21422341,7.287857597156045e-05,240,15.380523681640625
