environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,1.5843092203140259,0.089999996,0.18138357,0.120000005,0.2993326,0.120000005,0.16878653,3.1869161128997803,19.98438835144043,45.8,0.32999998,0.09119044996332377,9.734474818910366,0.3591502,0.019363992212011075,20,36.8001594543457
20000,0.3534916043281555,0.10333334,0.17156146,0.15,0.24094719,0.0,0.0,3.231806755065918,17.747507095336914,43.4,0.25333333,0.08322997998911888,14.60958589419974,0.38850138,0.028039818855025607,40,34.78803253173828
30000,-0.04586867243051529,0.0,0.0,0.05,0.1,0.05,0.14999999,3.2867534160614014,2.627354860305786,50.0,0.1,0.11715095001272857,0.0,0.16583124,6.06669125298137e-05,60,5.346446990966797
40000,0.03305988013744354,0.05,0.14999999,0.11468254,0.16581842,0.0055555557,0.016666668,3.0820577144622803,5.537496566772461,49.4,0.17023809,0.09591067996807397,1.8,0.29700175,0.003430297428923174,80,11.008872985839844
50000,-0.489631325006485,0.075,0.16007811,0.05,0.14999999,0.093571424,0.14716539,3.3775570392608643,4.339154243469238,50.0,0.21857142,0.09746505997609348,0.0,0.2527643,0.0001243051969110868,100,9.657570838928223
60000,0.5952521562576294,0.21166667,0.24472775,0.116666675,0.18333334,0.025,0.074999996,3.6364786624908447,10.270039558410645,47.4,0.35333332,0.09094312998931856,7.8,0.28865588,0.014878189783748637,120,19.34957504272461
70000,-0.5397558808326721,0.0,0.0,0.05,0.14999999,0.089999996,0.18138357,3.224860668182373,1.9797074794769287,50.0,0.14,0.09559658002108336,0.0,0.2154066,9.105697795615236e-05,140,5.038926601409912
80000,-0.1172703355550766,0.02,0.06,0.06666667,0.2,0.033333335,0.1,2.9152274131774902,5.353915214538574,48.2,0.120000005,0.09237427001353353,5.4,0.2993326,0.010858208914217609,160,10.942371368408203
90000,-0.11005236953496933,0.075,0.16007811,0.086904764,0.13405947,0.0,0.0,3.5987305641174316,4.47452974319458,50.0,0.16190477,0.09573457001242787,0.0,0.1748177,0.00011292923519790784,180,9.169164657592773
100000,0.5118424296379089,0.02857143,0.085714296,0.033333335,0.1,0.20857143,0.22850993,3.436518669128418,8.688538551330566,50.0,0.27047616,0.09346985002048314,0.0,0.24116874,8.435617518497662e-05,200,16.353391647338867
110000,-0.05914071574807167,0.08190477,0.12870893,0.092063494,0.15629885,0.062222224,0.095219046,3.403003215789795,4.64700174331665,45.9,0.23619048,0.08714012000709773,12.299999999999999,0.29273283,0.02297297029237064,220,9.412284851074219
120000,0.4564448893070221,0.14833334,0.16839933,0.07333334,0.1474223,0.056666665,0.12476645,3.4411816596984863,8.146706581115723,50.0,0.27833337,0.09597575003281236,0.0,0.21422341,6.984725331058306e-05,240,15.380523681640625
130000,-0.09651903808116913,0.075,0.16007811,0.15833333,0.30379543,0.075,0.16007811,3.549856185913086,9.367767333984375,42.9,0.30833334,0.08336804001592099,14.243946082459033,0.4150803,0.028188876233663604,260,18.928573608398438
140000,-0.00018283064127899706,0.19166668,0.3375772,0.033333335,0.1,0.0,0.0,3.077697277069092,9.434664726257324,46.5,0.225,0.08924622999038548,8.429116205154607,0.39449334,0.0160013097594611,280,18.86969566345215
150000,-0.1739431917667389,0.14500001,0.18768325,0.09666667,0.122780524,0.10095239,0.12205348,3.5760884284973145,6.353174686431885,50.0,0.34261906,0.09572404001373798,0.0,0.17306904,7.30411478916743e-05,300,13.054235458374023
160000,0.7095927000045776,0.0,0.0,0.14,0.3104835,0.1,0.29999998,3.2221922874450684,10.725859642028809,44.8,0.24000001,0.08516084000002593,10.4,0.397995,0.020065430856619028,320,20.032533645629883
170000,0.31883588433265686,0.13333334,0.23333335,0.11666666,0.2114763,0.058333337,0.1181454,3.452749252319336,10.323235511779785,44.9,0.30833334,0.0875425299629569,10.202450685987166,0.37647855,0.019722981328765946,340,20.008798599243164
180000,0.12862800061702728,0.1,0.29999998,0.12666665,0.1386843,0.044999998,0.09069179,3.439629554748535,6.461422920227051,48.2,0.2716667,0.09245466000866145,5.4,0.26781523,0.010527649419456903,360,12.665590286254883
190000,-0.4708176851272583,0.033333335,0.1,0.0,0.0,0.041666668,0.08539125,2.6750214099884033,0.42418283224105835,50.0,0.075,0.0960741100134328,0.0,0.1204736,8.774774829329885e-05,380,1.7900010347366333
200000,-0.14373674988746643,0.125,0.21489662,0.058333337,0.1181454,0.07333334,0.1474223,3.3431222438812256,8.752741813659668,49.8,0.25666666,0.09656280998606234,0.6,0.32721043,0.0012549084992918658,400,17.792957305908203
210000,0.1442878693342209,0.2409091,0.3794842,0.13333334,0.20937619,0.022727273,0.07186995,3.1051716804504395,7.251286506652832,39.90909090909091,0.39696968,0.07797094546681778,15.471114113108545,0.46066588,0.030459002251613413,420,14.213996887207031
220000,0.19692985713481903,0.03875,0.07755039,0.16541667,0.24975024,0.07333334,0.1474223,2.9089012145996094,5.976931095123291,48.1,0.2775,0.09272765992209316,5.7,0.32956305,0.011082533925400578,440,11.560002326965332
230000,0.31138989329338074,0.04,0.12,0.116666675,0.18333334,0.026666667,0.08,3.4045143127441406,5.329735279083252,47.1,0.18333334,0.1085030999733135,8.7,0.32015622,0.02016564741187074,460,10.036690711975098
240000,2.5025622844696045,0.15,0.32015622,0.27833337,0.3345021,0.21666667,0.3008322,3.674046516418457,33.18832778930664,34.2,0.645,0.06874003997072578,16.079800993793423,0.44070965,0.03213244820002533,480,61.37152862548828
250000,-0.5212013125419617,0.09583334,0.16878858,0.0125,0.037499998,0.13333334,0.17559423,3.320009708404541,4.019942283630371,45.6,0.24166667,0.08804076998494566,13.2,0.287349,0.025503934397953617,500,9.082286834716797
260000,-0.563774049282074,0.05,0.106718734,0.078571424,0.1642857,0.041666668,0.08539126,3.2860770225524902,2.9673409461975098,50.0,0.17023809,0.09904390000738203,0.0,0.19547386,8.195892669755818e-05,520,7.062230110168457
270000,-0.5868628025054932,0.078571424,0.12037357,0.053571425,0.10744006,0.02857143,0.085714296,3.4125351905822754,1.9223620891571045,50.0,0.16071428,0.09426972002256662,0.0,0.13194966,6.731659022250653e-05,540,5.018449783325195
280000,-0.7128317356109619,0.091666676,0.14166668,0.083333336,0.12909944,0.05,0.106718734,3.8161087036132812,3.505302667617798,49.0,0.225,0.09536911000031978,3.0,0.28638068,0.005963604692677924,560,8.43626880645752
290000,-0.48766931891441345,0.06666667,0.13333336,0.12027778,0.14131247,0.20305558,0.2305805,3.5949668884277344,9.515890121459961,42.2,0.39000002,0.08113544997759163,12.319090875547595,0.42,0.023889439026836587,580,20.007118225097656
300000,-0.7930973172187805,0.061904766,0.124266565,0.11555556,0.1506529,0.03611111,0.07861651,3.3809239864349365,2.981038808822632,50.0,0.21357143,0.124613880016841,0.0,0.14877447,0.00018141541072897086,600,7.548272132873535
310000,-0.16770796477794647,0.065,0.100124925,0.11222222,0.15919939,0.12555556,0.17112915,3.2366883754730225,4.515899658203125,45.5,0.3027778,0.08918093000538647,13.5,0.27099782,0.026395398511315962,620,9.367215156555176
320000,-0.34766146540641785,0.21333334,0.27495456,0.108333334,0.11432168,0.16333333,0.18284786,3.3152365684509277,10.135344505310059,44.4,0.48499998,0.08658540004398674,10.947145746723209,0.37553293,0.02161946663370204,640,20.96601104736328
330000,-0.037764862179756165,0.09916667,0.18975312,0.07833333,0.123389624,0.11916666,0.15776433,3.7360386848449707,5.252157211303711,46.4,0.29666668,0.09024000996723772,10.8,0.29028723,0.021108362076215213,660,10.57984447479248
340000,-0.2421136349439621,0.095238104,0.14599724,0.175,0.2991887,0.083333336,0.1707825,3.409857988357544,7.0915117263793945,42.2,0.35357141,0.08202703001443297,15.62561998769969,0.3503339,0.030458958285843416,680,14.667250633239746
350000,-0.1321118324995041,0.14140213,0.16549756,0.17962964,0.22821021,0.16944444,0.29672858,3.6092710494995117,8.369826316833496,39.583333333333336,0.49047616,0.07749000835853319,15.091158191323672,0.44673166,0.0298637216086181,700,17.003875732421875
360000,0.6285229325294495,0.1902381,0.22730415,0.17,0.22383028,0.15333334,0.20396078,3.3887722492218018,12.766006469726562,39.6,0.5135714,0.0770375199848786,16.426807358704856,0.4131073,0.03208687252182934,720,24.274967193603516
370000,0.18037007749080658,0.16839828,0.1876711,0.14834054,0.16665548,0.329798,0.18632543,3.4282302856445312,11.26823616027832,38.09090909090909,0.64653677,0.07360800908116455,14.82905345752995,0.3315496,0.02894320132944317,740,22.175731658935547
380000,-0.14487728476524353,0.21363638,0.30308333,0.16060607,0.23562434,0.11991343,0.13930383,3.4359025955200195,7.8488569259643555,39.09090909090909,0.49415585,0.07578386362134056,14.475399479207635,0.3904463,0.02808506458978734,760,15.987468719482422
390000,-0.5350780487060547,0.1,0.21343747,0.15357143,0.21537094,0.047619052,0.10432811,2.9213743209838867,3.953598976135254,44.1,0.30119047,0.09756982994731515,11.852847759083046,0.38080537,0.025665547868025915,780,8.977354049682617
400000,0.16376563906669617,0.20380953,0.1257684,0.19809525,0.2440698,0.32428572,0.34161448,3.3216593265533447,14.714983940124512,38.7,0.7261905,0.07596110007725657,15.453478572800366,0.3565471,0.03062161561249788,800,29.102436065673828
410000,-1.1648204326629639,0.13055556,0.20338568,0.075555556,0.119752824,0.0325,0.067128606,3.1569244861602783,2.6653048992156982,48.9,0.23861113,0.09688827001955361,3.3000000000000003,0.2960711,0.006711856043576359,820,7.660250663757324
420000,-0.8210600018501282,0.19817461,0.21771625,0.205,0.27968732,0.13611111,0.24357486,2.9596266746520996,9.29716682434082,36.0,0.5392857,0.0710994299966842,15.924823389915506,0.46632794,0.03127030697922948,840,20.236454010009766
430000,0.4186921715736389,0.2326389,0.27922797,0.13194445,0.22167902,0.27083334,0.36024198,3.2500548362731934,11.724595069885254,32.083333333333336,0.6354167,0.06332867505261675,16.810008592766657,0.44329005,0.033254819153854226,860,22.611804962158203
440000,-0.05444469302892685,0.16414142,0.2676053,0.26587301,0.29001594,0.15223666,0.28665107,2.965947151184082,8.96433162689209,39.90909090909091,0.5822511,0.08496295457536523,13.674492149150918,0.40397984,0.02888219978680244,880,18.037551879882812
450300,0.15345485508441925,0.15214285,0.22006609,0.13928571,0.16667092,0.31809527,0.3345949,2.9818506240844727,11.039206504821777,36.3,0.6095238,0.07121144002303481,15.849605673328279,0.40799823,0.031606626289824274,901,21.771503448486328
460300,-0.40684980154037476,0.16428572,0.16951796,0.22619048,0.21040252,0.22619048,0.30989823,2.9001028537750244,12.933720588684082,36.27272727272727,0.6166667,0.07381942724301056,16.136299615750083,0.4296463,0.033907329661981914,921,26.681140899658203
470300,0.6045053005218506,0.29421768,0.22629915,0.27329934,0.19436336,0.28044218,0.21951513,2.937709093093872,16.22370719909668,26.428571428571427,0.84795916,0.05655777855177543,16.624913687055365,0.2549571,0.03548962568718724,941,31.238405227661133
480300,0.3224612772464752,0.24595961,0.28564703,0.26212123,0.2599622,0.12828283,0.17287193,2.661112070083618,8.897401809692383,34.45454545454545,0.6363636,0.06678866364315829,16.68621443186308,0.48104572,0.03257308794583423,961,17.14988136291504
490300,0.9532569050788879,0.2547619,0.1818859,0.25773808,0.256705,0.34166667,0.26055115,3.15865421295166,14.338946342468262,30.285714285714285,0.8541666,0.06252889993733593,13.370695950625818,0.30323568,0.027832241822761266,981,26.771379470825195
500300,-0.2926580309867859,0.33000612,0.2803814,0.2350122,0.213159,0.14010988,0.19081539,2.7610929012298584,8.350560188293457,31.23076923076923,0.70512825,0.07099000771100131,13.712172280096732,0.4441156,0.031773491276185506,1001,17.286436080932617
510300,-0.25835883617401123,0.24148151,0.23784757,0.35703707,0.23641236,0.23111112,0.23133005,2.733175277709961,13.225090026855469,27.666666666666668,0.82962966,0.06421265996371707,16.006942938057293,0.35338846,0.03737506167577844,1021,26.96689796447754
520300,-0.13783308863639832,0.24347986,0.2393209,0.22177656,0.2151125,0.21056777,0.27897215,2.9822394847869873,9.938138008117676,34.23076923076923,0.67582417,0.06762665384807266,17.007481820358432,0.3817001,0.034205698102610614,1041,20.151941299438477
530300,-0.6676389575004578,0.17445888,0.15911816,0.2701299,0.26970166,0.11471862,0.1939133,2.987013339996338,5.748273849487305,37.72727272727273,0.55930734,0.07759670000946657,13.738406081234189,0.42193693,0.02801298471823742,1061,12.831825256347656
540300,1.6763391494750977,0.30000004,0.22068916,0.35833335,0.34777734,0.25833336,0.26391813,2.6168224811553955,21.899295806884766,22.5,0.9166667,0.04890410832983131,12.086493839543929,0.2763854,0.02684131346269617,1081,40.4459114074707
550300,-0.7697820663452148,0.16642858,0.21959676,0.13535716,0.12831771,0.13428572,0.14011334,2.93526554107666,2.5493392944335938,46.0,0.4360714,0.08762502998579294,8.330666239863412,0.387242,0.01602696993935069,1101,6.638242721557617
560300,0.9157803058624268,0.24411765,0.18576299,0.26666665,0.20666984,0.37156862,0.27048522,2.700160503387451,12.057602882385254,23.647058823529413,0.88235295,0.04715867648722932,15.153881958373058,0.32218975,0.030718364825063377,1121,22.283645629882812
570300,0.008711639791727066,0.2727891,0.31501374,0.23528913,0.2798562,0.30442175,0.26790717,2.652315139770508,13.245306968688965,26.428571428571427,0.8125,0.07643474287553025,16.25561127608506,0.36824268,0.0479794615242231,1141,26.473190307617188
580300,0.8886471390724182,0.32291666,0.21302311,0.28928572,0.23868084,0.3002976,0.24787024,2.985447645187378,12.266267776489258,24.571428571428573,0.91249996,0.05444911425001919,13.324061402023709,0.21438242,0.02982869170267348,1161,22.75524139404297
590300,-0.18865817785263062,0.1754884,0.18190086,0.24221613,0.29162785,0.21782663,0.20750396,2.9183449745178223,6.727667331695557,35.46153846153846,0.6355311,0.07123048462045307,15.896856895990402,0.4200812,0.032310013799484845,1181,13.832651138305664
600300,0.4886944890022278,0.30069444,0.2679323,0.2011574,0.19316864,0.32685187,0.2681655,2.827347755432129,13.250290870666504,25.5,0.8287037,0.050537541683297604,16.5,0.31708738,0.03274907036377486,1201,25.523193359375
